Nome da Música,Gênero,Artista,Humor,Época
Chicago,"R&B, Pop",Michael Jackson,"Dramático, Intenso",Anos 90
No Role Modelz,Hip-Hop,J. Cole,"Reflexivo, Descontraído",Anos 10
A Morte do Autotune,"Trap, Hip-Hop",Matuê,"Energético, Provocador",Anos 10
Preciso me encontrar,Samba,Cartola,"Melancólico, Reflexivo",Anos 70
Negro Drama,"Rap, Hip-Hop",Racionais MC's,"Dramático, Reflexivo",Anos 00
Baby,"Pop, R&B",Justin Bieber,"Romântico, Animado, Melódico",Anos 10
Deixa Acontecer,"Pagode, Samba",Grupo Revelação,"Romântico, Sentimental",Anos 00
Summertime Sadness,"Indie Pop, Sadcore, Trip-Hop",Lana Del Rey,"Melancólico, Nostálgico",Anos 10
No Lie,"Pop, Dancehall",Dua Lipa,"Animado, Dançante",Anos 10
Deixa Alagar,"Pagode, Samba",Grupo Revelação,"Romântico, Suave",Anos 00
Jeito Bandido,"Trap, Hip-Hop",Veigh,"Romântico, Confiante",Anos 20
Aquelas Coisas,Funk,Puma PJL,"Relaxado, Sensual",Anos 20
Me Jogou no Lixo,Funk,MC Rick,"Animado, Dançante",Anos 10
Montagem Anos 2000,"Funk, Montagem",DJ Arana,"Animado, Dançante, Nostálgico",Anos 20
All Eyez on Me,"Hip-Hop, Gangsta Rap",2Pac,"Confiante, Assertivo, Energético",Anos 90
P.I.M.P.,"Hip-Hop, Dancehall",50 Cent,"Confiante, Festeiro",Anos 00
Blank Space,Pop,Taylor Swift,"Sarcástico, Confiante",Anos 10
Stressed Out,"Alternativo, Pop-Rock",Twenty One Pilots,"Melancólico, Reflexivo, Nostálgico",Anos 10
End of Beginning,"Indie Pop, Synth-Pop",Djo,"Nostálgico, Melancólico, Sonhador",Anos 20
Naquela Mesa,"MPB, Samba-Canção",Nelson Gonçalves,"Melancólico, Nostálgico, Triste",Anos 70
Nós é Ruim e o Cabelo Ajuda,"Funk, Hip-Hop",Kyan,"Confiante, Irreverente",Anos 20
Beauty and a Beat,"Pop, R&B, Dance",Justin Bieber,"Animado, Dançante, Energético",Anos 10
Beat It,"Pop, Rock",Michael Jackson,"Energético, Confrontador",Anos 80
Suspicious Minds,"Rock and Roll, Pop, Soul",Elvis Presley,"Dramático, Intenso, Melancólico",Anos 60
